keys,en,ko,en_XA
CAT_CREAM,Cream,크림,[Çřéàɱ ————]
CAT_CHEESE,Cheese,치즈,[Çĥééşé ————]
CAT_CALICO,Calico,삼색,[Çàłïçô ————]
CAT_BLACK,Shadow,까망,[Şĥàðôŵ ————]
CAT_GRAY,Ash,회색,[Åşĥ ——]
CAT_MINT,Mint,민트,[Ṁïńţ ———]
CAT_PINK,Blossom,벚꽃,[Ɓłôşşôɱ —————]
CAT_GHOST,Ghost,유령,[Ğĥôşţ ————]
CAT_GOLD,Midas,황금,[Ṁïðàş ————]
CAT_CUSTOM,My Own Cat,나만의 냥,[Ṁÿ Ôŵń Çàţ ————————]
TRAIT_BALANCED,Balanced,밸런스,[Ɓàłàńçéð ——————]
TRAIT_HEAVY,Heavyweight,헤비급,[Ĥéàṽÿŵéïğĥţ ————————]
TRAIT_DASHKING,Dash King,대시왕,[Ðàşĥ Ķïńğ ———————]
TRAIT_SPRINTER,Born Runner,질주본능,[Ɓôřń Řüńńéř ————————]
TRAIT_HEAVYJUMP,Heavy Hop,묵직점프,[Ĥéàṽÿ Ĥôþ ———————]
TRAIT_JUMPKING,Jump King,점프킹,[Ĵüɱþ Ķïńğ ———————]
TRAIT_SWIFT,Nimble,날쌘돌이,[Ńïɱƀłé ————]
TRAIT_FEATHER,Featherbody,깃털몸,[Ƒéàţĥéřƀôðÿ ————————]
TRAIT_ALLROUND,All-rounder,올라운더,[Åłł-řôüńðéř ————————]
TRAIT_CUSTOM,Custom,커스텀,[Çüşţôɱ ————]
ACC_BEANIE,Wool Beanie,털모자,[Ŵôôł Ɓéàńïé ————————]
ACC_LEAF,Sprout,새싹,[Şþřôüţ ————]
ACC_RIBBON,Ribbon,리본,[Řïƀƀôń ————]
ACC_FLOWER,Blossom Pin,꽃송이,[Ɓłôşşôɱ Þïń ————————]
ACC_WIZARD,Wizard Hat,마법사 모자,[Ŵïżàřð Ĥàţ ————————]
ACC_TOPHAT,Top Hat,신사 모자,[Ţôþ Ĥàţ —————]
ACC_CROWN,Golden Crown,황금 왕관,[Ğôłðéń Çřôŵń —————————]
ACC_HALO,Angel Halo,천사의 링,[Åńğéł Ĥàłô ————————]
ACC_BELL,Bell Collar,방울 목걸이,[Ɓéłł Çôłłàř ————————]
ACC_SCARF,Scarf,목도리,[Şçàřƒ ————]
ACC_BOWTIE,Bow Tie,나비넥타이,[Ɓôŵ Ţïé —————]
ACC_BANDANA,Bandana,반다나,[Ɓàńðàńà —————]
ACC_GOLDCHAIN,Gold Chain,금 목걸이,[Ğôłð Çĥàïń ————————]
ACC_GEMCHAIN,Gem Chain,보석 목걸이,[Ğéɱ Çĥàïń ———————]
BOOST_WARMUP,Warm-up,워밍업,[Ŵàřɱ-üþ —————]
BOOST_WARMUP_DESC,Start on the 5th-floor stairs,5층 계단에서 출발,[Şţàřţ ôń ţĥé 5ţĥ-ƒłôôř şţàïřş ———————————————————————]
NICKNAME_DEFAULT,Cat-{n},냥이-{n},[Çàţ-{n} —————]
CAT_SLEEPY,Dozy,잠꾸러기,[Ðôżÿ ———]
CAT_WIZARD,Whiskerlock,마법사,[Ŵĥïşķéřłôçķ ————————]
TRAIT_DREAMER,Dreamer,꿈나라,[Ðřéàɱéř —————]
TRAIT_MAGIC,Spellcaster,마법사,[Şþéłłçàşţéř ————————]
CAT_MINE,My Own Cat,나만의 캐릭터,[Ṁÿ Ôŵń Çàţ ————————]
TRAIT_MINE,Made By You,직접 만든 냥이,[Ṁàðé Ɓÿ Ÿôü ————————]
CAT_MINE_N,My Own Cat {n},나만의 캐릭터 {n},[Ṁÿ Ôŵń Çàţ {n} ———————————]
CAT_CREAM_DESC,"The first cat to fall in. Steady on any ledge, decent at everything.",제일 먼저 구덩이에 빠진 냥이. 뭐든 무난하게 해내는 성실파.,"[Ţĥé ƒïřşţ çàţ ţô ƒàłł ïń. Şţéàðÿ ôń àńÿ łéðğé, ðéçéńţ àţ éṽéřÿţĥïńğ. ——————————————————————————————————————————————————————]"
CAT_BLACK_DESC,Slips through the dark and gets there before the block lands.,어둠 속을 미끄러지듯 달린다. 블록보다 먼저 도착하는 발.,[Şłïþş ţĥřôüğĥ ţĥé ðàřķ àńð ğéţş ţĥéřé ƀéƒôřé ţĥé ƀłôçķ łàńðş. ————————————————————————————————————————————————]
CAT_CHEESE_DESC,Well fed and heavy. Lands with a thud and shoves blocks aside.,잘 먹어서 묵직하다. 착지도 쿵,[Ŵéłł ƒéð àńð ĥéàṽÿ. Łàńðş ŵïţĥ à ţĥüð àńð şĥôṽéş ƀłôçķş àşïðé. —————————————————————————————————————————————————]
