keys,en,ko,en_XA
CAT_PART_BODY,Body Color,몸 색,[Ɓôðÿ Çôłôř ————————]
CAT_PART_EAR,Ear & Tail Color,귀·꼬리 색,[Éàř & Ţàïł Çôłôř ————————————]
CAT_PART_EYES,Eyes,눈,[Éÿéş ———]
CAT_PART_EYE_COL,Eye Color,눈 색,[Éÿé Çôłôř ———————]
CAT_PART_NOSE,Nose,코,[Ńôşé ———]
CAT_PART_NOSE_COL,Nose Color,코 색,[Ńôşé Çôłôř ————————]
CAT_PART_MOUTH,Mouth,입,[Ṁôüţĥ ————]
CAT_PART_WHISKER,Whiskers,수염,[Ŵĥïşķéřş ——————]
CAT_PART_PATTERN,Pattern,무늬,[Þàţţéřń —————]
CAT_PART_PATTERN_COL,Pattern Color,무늬 색,[Þàţţéřń Çôłôř ——————————]
CAT_PART_TAIL,Tail,꼬리,[Ţàïł ———]
CAT_PART_PAWS,Front Paws,앞발,[Ƒřôńţ Þàŵş ————————]
CAT_PART_BLUSH,Blush,볼터치,[Ɓłüşĥ ————]
CAT_PART_MARK,Forehead & Freckles,이마·주근깨,[Ƒôřéĥéàð & Ƒřéçķłéş ———————————————]
CAT_PART_EXTRA,Extras,소품,[Éẋţřàş ————]
CAT_RARITY_0,Common,일반,[Çôɱɱôń ————]
CAT_RARITY_1,Rare,희귀,[Řàřé ———]
CAT_RARITY_2,Epic,영웅,[Éþïç ———]
CAT_RARITY_3,Legendary,전설,[Łéğéńðàřÿ ———————]
CAT_PART_EAR_SHAPE,Ear Shape,귀 모양,[Éàř Şĥàþé ———————]
CAT_PART_PAD_COL,Paw Pad Color,발바닥 색,[Þàŵ Þàð Çôłôř ——————————]
CAT_PART_FACE,Face Gear,얼굴 소품,[Ƒàçé Ğéàř ———————]
CAT_PART_HEAD,Head Gear,머리 소품,[Ĥéàð Ğéàř ———————]
CAT_PART_NECK,Neck Gear,목 소품,[Ńéçķ Ğéàř ———————]
CAT_PART_HOLD,Held Item,손 소품,[Ĥéłð Ïţéɱ ———————]
CAT_PART_CHEST,Chest Pin,가슴 소품,[Çĥéşţ Þïń ———————]
CAT_PART_BACK,Back Gear,등 소품,[Ɓàçķ Ğéàř ———————]
