keys,en,ko,en_XA
SET_TITLE,Settings,설정,[Şéţţïńğş ——————]
SET_PAUSE_TITLE,Paused,일시정지,[Þàüşéð ————]
SET_RESUME,Resume,계속하기,[Řéşüɱé ————]
SET_CLOSE,Close,닫기,[Çłôşé ————]
SET_VOL_MASTER,Master,전체 음량,[Ṁàşţéř ————]
SET_VOL_BGM,Music,배경 음악,[Ṁüşïç ————]
SET_VOL_SFX,Sound,효과음,[Şôüńð ————]
SET_LANGUAGE,Language,언어,[Łàńğüàğé ——————]
SET_RESET,"⚠ Reset Game  (erases records, currency, unlocks)",⚠ 게임 초기화  (기록·재화·해금 전부 삭제),"[⚠ Řéşéţ Ğàɱé  (éřàşéş řéçôřðş, çüřřéńçÿ, üńłôçķş) ———————————————————————————————————————]"
SET_RESET_CONFIRM,Really reset?  Press again to delete!,정말 초기화할까요?  다시 누르면 삭제됩니다!,[Řéàłłÿ řéşéţ?  Þřéşş àğàïń ţô ðéłéţé! —————————————————————————————]
SET_RESETTING,Resetting...,초기화 중...,[Řéşéţţïńğ... —————————]
SET_BACK,Back,뒤로,[Ɓàçķ ———]
SET_APPLY,Apply,적용,[Åþþłÿ ————]
SET_RESOLUTION,Resolution,해상도,[Řéşôłüţïôń ————————]
SET_VIBRATION,Vibration,진동,[Ṽïƀřàţïôń ———————]
SET_VIBRATION_OFF,Off,끄기,[Ôƒƒ ——]
SET_CONTROLLER,Controller,컨트롤러,[Çôńţřôłłéř ————————]
SET_KEYBOARD,Keyboard,키보드,[Ķéÿƀôàřð ——————]
SET_RESET_BINDS,Reset to defaults,기본값으로 재설정,[Řéşéţ ţô ðéƒàüłţş —————————————]
SET_PRESS_KEY,Press a key...,키를 누르세요...,[Þřéşş à ķéÿ... ———————————]
SET_PRESS_BUTTON,Press a button...,버튼을 누르세요...,[Þřéşş à ƀüţţôń... —————————————]
SET_BIND_HINT,Press ESC to cancel,ESC를 누르면 취소돼요,[Þřéşş ÉŞÇ ţô çàńçéł ———————————————]
SET_BIND_TAKEN,That one is already taken!,이미 다른 조작이 쓰고 있어요!,[Ţĥàţ ôńé ïş àłřéàðÿ ţàķéń! ————————————————————]
SET_ACT_MOVE,Move,이동,[Ṁôṽé ———]
SET_ACT_MOVE_LEFT,Move Left,좌로 이동,[Ṁôṽé Łéƒţ ———————]
SET_ACT_MOVE_RIGHT,Move Right,우로 이동,[Ṁôṽé Řïğĥţ ————————]
SET_ACT_JUMP,Jump / Wall Jump,점프 / 벽 점프,[Ĵüɱþ / Ŵàłł Ĵüɱþ ————————————]
SET_ACT_DASH,Dash,대시,[Ðàşĥ ———]
SET_ACT_SOFT_DROP,Speed Up Block,블록 낙하 가속,[Şþééð Üþ Ɓłôçķ ———————————]
SET_ACT_ROT_CCW,Rotate Block CCW,블록 반시계 회전,[Řôţàţé Ɓłôçķ ÇÇŴ ————————————]
SET_ACT_ROT_CW,Rotate Block CW,블록 시계 회전,[Řôţàţé Ɓłôçķ ÇŴ ————————————]
SET_ACT_PAUSE,Pause,일시정지,[Þàüşé ————]
POP_DEAD_TITLE,Meow... down you go!,냐옹... 쓰러졌다!,[Ṁéôŵ... ðôŵń ÿôü ğô! ————————————————]
POP_NEW_RECORD,☆ New Record! ☆,☆ 신기록 달성! ☆,[☆ Ńéŵ Řéçôřð! ☆ ————————————]
POP_RESTART,Start Over,처음부터 다시하기,[Şţàřţ Ôṽéř ————————]
POP_TO_TITLE,Back to Title,타이틀로 나가기,[Ɓàçķ ţô Ţïţłé ——————————]
HUD_FLOOR,{n} F,{n}층,[{n} Ƒ ————]
HUD_POINTS,{n} pts,{n}점,[{n} þţş —————]
HUD_MILESTONE,{n} F reached!,{n}층 돌파!,[{n} Ƒ řéàçĥéð! ———————————]
HUD_MILESTONE_BIG,Amazing! {n} F reached!!,대기록! {n}층 돌파!!,[Åɱàżïńğ! {n} Ƒ řéàçĥéð!! ———————————————————]
HUD_STATS_ENDLESS,Reached {height} F      Best {best} F,도달 높이 {height}층      최고 기록 {best}층,[Řéàçĥéð {height} Ƒ      Ɓéşţ {best} Ƒ —————————————————————————————]
HUD_EARNED,Earned   +{gold} G,획득   +{gold} G,[Éàřńéð   +{gold} Ğ ——————————————]
HUD_DAILY_DOUBLE,First run today — double!   ,오늘 첫 판 2배!   ,[Ƒïřşţ řüń ţôðàÿ — ðôüƀłé!    ——————————————————————]
HUD_NEXT_LEVEL_TEST,▶  Next LEVEL (test),▶  다음 LEVEL (테스트),[▶  Ńéẋţ ŁÉṼÉŁ (ţéşţ) ————————————————]
HUD_NEXT_LEVEL_TEST_TIP,Test only: clears the current LEVEL instantly (shortcut N),테스트용: 현재 LEVEL을 즉시 클리어한다 (단축키 N),[Ţéşţ ôńłÿ: çłéàřş ţĥé çüřřéńţ ŁÉṼÉŁ ïńşţàńţłÿ (şĥôřţçüţ Ń) ——————————————————————————————————————————————]
TUT_ESCAPE,"Climb the falling blocks
and escape through the exit atop either wall!
Getting crushed by a block is death (bumps are fine)
Dash to break side blocks, jump to break blocks overhead!","블록을 밟고 올라가
좌우 벽 꼭대기의 출구로 탈출!
낙하 블록에 깔리면 사망 (부딪히는 건 OK)
대시로 옆 블록, 점프로 머리 위 블록 파괴!","[Çłïɱƀ ţĥé ƒàłłïńğ ƀłôçķş ———————————————————]
[àńð éşçàþé ţĥřôüğĥ ţĥé éẋïţ àţôþ éïţĥéř ŵàłł! ————————————————————————————————————]
[Ğéţţïńğ çřüşĥéð ƀÿ à ƀłôçķ ïş ðéàţĥ (ƀüɱþş àřé ƒïńé) —————————————————————————————————————————]
[Ðàşĥ ţô ƀřéàķ şïðé ƀłôçķş, ĵüɱþ ţô ƀřéàķ ƀłôçķş ôṽéřĥéàð! —————————————————————————————————————————————]"
TUT_KEYS_ESCAPE,< >  Move (double tap: dash)      ^ / SPACE  Jump · jump again while sliding on a wall = one wall jump      v  Speed up block fall      Z / X  Rotate block      P  Pause      R  Restart      ESC  Title,< >  이동 (더블탭: 대시)      ^ / SPACE  점프 · 벽에서 미끄러질 때 다시 점프 = 벽점프 1회      v  블록 낙하 가속      Z / X  블록 회전      P  일시정지      R  재시작      ESC  타이틀,[< >  Ṁôṽé (ðôüƀłé ţàþ: ðàşĥ)      ^ / ŞÞÅÇÉ  Ĵüɱþ · ĵüɱþ àğàïń ŵĥïłé şłïðïńğ ôń à ŵàłł = ôńé ŵàłł ĵüɱþ      ṽ  Şþééð üþ ƀłôçķ ƒàłł      Ż / Ẋ  Řôţàţé ƀłôçķ      Þ  Þàüşé      Ř  Řéşţàřţ      ÉŞÇ  Ţïţłé ————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————]
TOUCH_TITLE,Title,타이틀,[Ţïţłé ————]
TOUCH_ROT_CCW,◀ Rotate,◀ 회전,[◀ Řôţàţé ——————]
TOUCH_ROT_CW,Rotate ▶,회전 ▶,[Řôţàţé ▶ ——————]
TOUCH_JUMP,Jump,점프,[Ĵüɱþ ———]
MENU_TAGLINE,A cube cat's great escape from the pit,구덩이에 빠진 큐브 고양이의 탈출극,[Å çüƀé çàţ'ş ğřéàţ éşçàþé ƒřôɱ ţĥé þïţ ——————————————————————————————]
MENU_MODE_SELECT,Select Mode,모드 선택,[Şéłéçţ Ṁôðé ————————]
MENU_CHARACTER,🐱  Character,🐱  캐릭터,[🐱  Çĥàřàçţéř —————————]
MENU_SHOP,🛒  Shop,🛒  상점,[🛒  Şĥôþ —————]
